country,emb_institution,contacts,contacts_with_email,sources,note
Albania,Central Election Commission of the Republic of Albania,4,4,"csv,db",1 generic entry folded in
Angola,National Electoral Commission,5,5,csv,
Antigua and Barbuda,Antigua and Barbuda Electoral Commission,19,19,db,1 generic entry folded in
Armenia,Central Electoral Commission of the Republic of Armenia,19,19,"csv,db",2 generic entries folded in
Australia,Victorian Electoral Commission,1,1,db,
Azerbaijan,Central Election Commission of the Republic of Azerbaijan,10,10,"csv,db",1 generic entry folded in
Azerbaijan,National Election Office,3,3,db,
Bangladesh,Bangladesh Election Commission,7,7,db,
Belarus,Central Election Commission,2,2,"csv,db",1 generic entry folded in
Benin,National Autonomous Electoral Commission,2,2,csv,
Benin,National Electoral Commission (CENA),2,2,csv,
Bhutan,Election Commission of Bhutan,1,1,db,
Bosnia and Herzegovina,Central Election Commission of Bosnia and Herzegovina,7,7,"csv,db",1 generic entry folded in
Botswana,Independent Electoral Commission Botswana,9,9,"csv,db",
Botswana,Independent Electoral Commission (IEC),3,3,csv,
Botswana,Office of the Electoral Commissioner,1,1,csv,
Botswana,Electoral Commissions of SADC countries,1,1,csv,
Botswana,IEC BOTSWANA,1,1,db,
Bulgaria,Central Election Commission of Bulgaria,1,1,"csv,db",
Burkina Faso,Independent Electoral Commission,5,5,csv,
Burundi,Independent National Electoral Commission of Burundi (CENI),2,2,csv,
Cabo Verde,National Electoral Commission,7,7,csv,
Cameroon,Electoral Board,1,1,csv,
Canada,Corporate and Parliamentary Research Organisation:Elections Canada,2,2,"csv,db",1 generic entry folded in
Chad,Chad National Independent Electoral Commission,2,2,csv,
Cook Islands,Cook Islands Electoral Office,1,1,db,
Côte d'Ivoire,Independent Electoral Commission,3,3,csv,
Croatia,State Electoral Commission of the Republic of Croatia,2,2,"csv,db",1 generic entry folded in
Croatia,Central Election Commission,1,1,"csv,db",
Cyprus,Central Election Commission,2,2,db,
Democratic Republic of the Congo,Independant National Electoral Commission,3,3,csv,
Democratic Republic of the Congo,Independent Electoral Commission,1,1,csv,
Democratic Republic of the Congo,Independent National Electoral Commission (CENI),1,1,csv,
Denmark,Central Election Commission,2,2,"csv,db",1 generic entry folded in
Egypt,National Election Authority,2,2,"csv,db",1 generic entry folded in
