country,contacts_total,contacts_with_email,contacts_from_csv,contacts_from_db,contacts_in_both,embs_covered,other_institutions,institutions_total
India,145,144,46,109,10,10,10,20
South Africa,114,114,109,11,6,3,21,24
United Kingdom,95,95,88,11,4,1,17,18
Belgium,94,94,91,9,6,0,32,32
Austria,73,73,70,13,10,0,23,23
United States,63,63,52,11,0,0,14,14
Canada,55,55,43,13,1,2,20,22
Rwanda,53,53,53,7,7,1,1,2
France,37,37,33,5,1,0,19,19
Mauritius,31,31,26,9,4,2,6,8
Botswana,30,30,11,20,1,5,15,20
Ethiopia,30,30,17,14,1,3,9,12
Kenya,30,30,13,18,1,4,9,13
Luxembourg,26,26,25,2,1,1,5,6
Hungary,25,25,13,20,8,2,4,6
Switzerland,24,24,22,8,6,1,12,13
Bosnia and Herzegovina,22,22,22,7,7,2,9,11
Antigua and Barbuda,21,21,0,21,0,2,2,4
Philippines,21,21,0,21,0,1,6,7
Armenia,20,20,6,19,5,3,1,4
Poland,19,19,18,6,5,3,6,9
Ukraine,19,19,11,17,9,2,6,8
Russian Federation,18,18,12,13,7,3,7,10
Kazakhstan,17,17,1,17,1,2,4,6
North Macedonia,17,16,11,11,5,2,5,7
Sweden,17,17,14,10,7,2,11,13
Uganda,16,16,1,15,0,2,6,8
Azerbaijan,15,15,2,15,2,3,2,5
Latvia,15,15,10,11,6,3,3,6
Namibia,15,15,13,4,2,1,2,3
Slovenia,14,14,14,6,6,2,8,10
Nigeria,14,14,9,6,1,5,5,10
Jamaica,14,14,0,14,0,2,1,3
Sierra Leone,12,12,3,12,3,2,3,5
Cameroon,12,12,10,4,2,1,5,6
Norway,12,12,7,10,5,1,5,6
Lithuania,11,11,7,5,1,2,1,3
Germany,11,11,10,6,5,0,9,9
Spain,11,11,9,6,4,2,3,5
Estonia,11,11,5,11,5,1,6,7
Egypt,11,11,10,1,0,2,8,10
Denmark,10,10,8,6,4,2,6,8
Netherlands,10,10,8,6,4,1,5,6
Malawi,10,10,7,3,0,1,3,4
Cyprus,10,10,4,10,4,1,3,4
Georgia,9,9,1,9,1,2,0,2
Montenegro,9,9,7,5,3,2,5,7
Malta,9,9,9,8,8,2,2,4
Gambia,9,9,6,3,0,1,1,2
Cabo Verde,9,9,8,1,0,1,2,3
Tanzania,9,9,1,9,1,2,4,6
Bangladesh,9,9,0,9,0,1,1,2
Albania,8,8,5,4,1,2,3,5
Moldova,8,8,8,4,4,1,4,5
Romania,8,8,7,6,5,3,5,8
Serbia,8,8,8,5,5,2,3,5
Angola,8,8,7,3,2,1,2,3
Madagascar,8,8,7,1,0,2,3,5
Guam,8,8,0,8,0,2,0,2
Pakistan,8,8,0,8,0,0,2,2
Mexico,8,8,0,8,0,1,4,5
Bulgaria,7,7,5,5,3,1,5,6
Croatia,7,7,7,3,3,3,2,5
Kyrgyzstan,7,7,3,7,3,3,1,4
Greece,7,7,7,2,2,0,6,6
Iceland,7,7,7,1,1,1,5,6
Italy,7,7,7,3,3,0,5,5
Burkina Faso,7,7,7,2,2,1,1,2
Chad,7,7,5,4,2,1,4,5
Benin,7,7,7,0,0,2,3,5
Democratic Republic of the Congo,7,7,7,0,0,3,2,5
Libya,7,7,1,6,0,1,1,2
Papua New Guinea,7,7,0,7,0,2,0,2
Sri Lanka,7,7,0,7,0,1,0,1
Belarus,6,6,5,3,2,2,2,4
Finland,6,6,6,1,1,0,5,5
Burundi,6,6,6,4,4,1,2,3
Gabon,6,6,5,1,0,2,4,6
Turkey,6,6,3,6,3,2,4,6
Maldives,6,6,0,6,0,0,1,1
Micronesia,6,6,0,6,0,1,0,1
Kosovo,5,5,5,1,1,1,2,3
Côte d'Ivoire,5,5,4,2,1,1,2,3
Czech Republic,5,5,4,3,2,0,4,4
Ghana,5,5,5,0,0,1,1,2
Tunisia,5,5,3,3,1,0,4,4
Dominican Republic,5,5,1,4,0,0,3,3
Bhutan,5,5,0,5,0,1,1,2
British Virgin Islands,5,5,0,5,0,0,5,5
Guyana,5,5,0,5,0,1,1,2
Timor-Leste,5,5,0,5,0,1,0,1
Somalia,5,5,0,5,0,2,1,3
Slovakia,4,4,3,3,2,1,2,3
Ireland,4,4,4,3,3,0,4,4
Portugal,4,4,3,3,2,1,3,4
Israel,4,4,0,4,0,0,2,2
Tajikistan,4,4,0,4,0,1,1,2
Liberia,4,4,0,4,0,0,2,2
Argentina,4,4,0,4,0,0,3,3
Mozambique,3,3,3,2,2,1,2,3
Zimbabwe,3,3,2,2,1,1,2,3
Mauritania,3,3,1,3,1,1,2,3
Montserrat,3,3,0,3,0,2,0,2
Nepal,3,3,0,3,0,1,1,2
Turkmenistan,3,3,0,3,0,0,3,3
Republic of Korea,3,3,0,3,0,0,2,2
Algeria,2,2,2,2,2,0,1,1
Africa,2,2,2,2,2,0,1,1
Anguilla,2,2,0,2,0,0,1,1
Haiti,2,2,0,2,0,0,2,2
Lesotho,2,2,0,2,0,2,0,2
Brunei Darussalam,2,2,0,2,0,0,1,1
Afghanistan,2,2,0,2,0,0,2,2
Eswatini,2,2,0,2,0,1,1,2
Panama,2,2,0,2,0,0,2,2
Brazil,2,2,0,2,0,0,2,2
Vanuatu,2,2,0,2,0,1,1,2
Congo,1,1,1,1,1,0,1,1
Djibouti,1,1,1,1,1,0,1,1
Zambia,1,1,1,1,1,0,1,1
Liechtenstein,1,1,1,0,0,0,1,1
Cook Islands,1,1,0,1,0,1,0,1
Barbados,1,1,0,1,0,0,1,1
Sudan,1,1,0,1,0,0,1,1
Myanmar,1,1,0,1,0,0,1,1
Thailand,1,1,0,1,0,1,0,1
Iran,1,1,0,1,0,0,1,1
Saudi Arabia,1,1,0,1,0,0,1,1
Western Sahara,1,1,0,1,0,1,0,1
Eritrea,1,1,0,1,0,0,1,1
Mali,1,1,0,1,0,1,0,1
Morocco,1,1,0,1,0,1,0,1
Senegal,1,1,0,1,0,0,1,1
Australia,1,1,0,1,0,1,0,1
Lebanon,1,1,0,1,0,0,1,1
United Arab Emirates,1,1,0,1,0,0,1,1
Bolivia,1,1,0,1,0,0,1,1
Trinidad and Tobago,1,1,0,1,0,0,1,1
Colombia,1,1,0,1,0,0,1,1
Guatemala,1,1,0,1,0,1,0,1
Aland Islands,1,1,0,1,0,0,1,1
