country,institution,type,contacts,contacts_with_email,sources,name_variants
Afghanistan,ACE - The Electoral Knowledge Network,Other,1,1,db,
Afghanistan,ICPS,Other,1,1,db,
Africa,Electoral Commissions Forum of SADC Countries,Other,2,2,"csv,db",
Aland Islands,NA,Other,1,1,db,
Albania,Central Election Commission of the Republic of Albania,EMB,2,2,"csv,db",
Albania,ACEEEO,Other,2,2,csv,
Albania,Electoral Commission,EMB,2,2,"csv,db",Election Commission
Albania,National Public Affairs,Other,1,1,csv,
Albania,Central Elections Commission of Albania,Other,1,1,db,
Algeria,Algerian National Commission,Other,2,2,"csv,db",
Angola,National Electoral Commission,EMB,5,5,csv,
Angola,The Electoral Commission Forum,Other,2,2,"csv,db",
Angola,Clube dos Empreendedores,Other,1,1,db,
Anguilla,Government of Anguilla,Other,2,2,db,
Antigua and Barbuda,Antigua and Barbuda Electoral Commission,EMB,17,17,db,Antigua Barbuda Electoral Commission | Antigua & Barbuda Electoral Commission | Antigua & Barbuda Electoral commission | Antigua and barbuda electoral commission | Antigua and Barbuda Electoral commission
Antigua and Barbuda,Electoral Commission,EMB,2,2,db,
Antigua and Barbuda,ABEC,Other,1,1,db,
Antigua and Barbuda,Ministry of Education,Other,1,1,db,
Argentina,Correo Oficial de la Rep Arg,Other,2,2,db,
Argentina,SMARTMATIC,Other,1,1,db,
Argentina,IGE,Other,1,1,db,
Armenia,Central Electoral Commission of the Republic of Armenia,EMB,16,16,"csv,db",Cental Election Commission | Central Election Commission
Armenia,Election Commission,EMB,2,2,"csv,db",
Armenia,Central Electoral Commission o,EMB,1,1,csv,
Armenia,"ISEC, National Academy of Sciences",Other,1,1,"csv,db",
Australia,Victorian Electoral Commission,EMB,1,1,db,
Austria,OSCE,Other,32,32,csv,
Austria,Ministry for Foreign Affairs,Other,11,11,"csv,db",Ministry of Foreign Affairs
Austria,Paliamentary Assembly,Other,4,4,"csv,db",
Austria,Ministry of Justice,Other,4,4,csv,
Austria,Austrian Federal Ministry for European and International Affairs,Other,3,3,csv,
Austria,Institute of Technology Assessment of the Austrian Academy of Sciences,Other,2,2,csv,
Austria,Federal Ministry of the Interior,Other,1,1,"csv,db",
Austria,ACEEEO,Other,1,1,csv,
Austria,Austrian Federal Ministry for European and International Affair,Other,1,1,csv,
Austria,Parliamentary Assembly,Other,1,1,"csv,db",
Austria,Austrian Parliament,Other,1,1,csv,
Austria,EEAS - European External Action Service,Other,1,1,csv,
Austria,Russian Center for Training Election Technologies; Central Election Commission,Other,1,1,csv,
Austria,Council of Europe,Other,1,1,"csv,db",
Austria,European Economic and Social Committee,Other,1,1,csv,
Austria,Federal Chancellery,Other,1,1,"csv,db",
Austria,Federal Computing Centre,Other,1,1,"csv,db",
Austria,Ministry of the Interior,Other,1,1,"csv,db",
Austria,E Voting Competence Center for Electronic Voting and Participation,Other,1,1,"csv,db",
Austria,Ministry for European and International Affairs,Other,1,1,csv,
Austria,Action against Terrorism Unit,Other,1,1,csv,
Austria,Strategic Police Matters Unit,Other,1,1,csv,
Austria,Independent Election Expert,Other,1,1,db,
Azerbaijan,Central Election Commission of the Republic of Azerbaijan,EMB,9,9,"csv,db",Central Election Commission
Azerbaijan,National Election Office,EMB,3,3,db,
Azerbaijan,Centre for Strategic Studies,Other,1,1,"csv,db",
Azerbaijan,Election Monitoring Center,Other,1,1,db,
Azerbaijan,Election Commission,EMB,1,1,db,
Bangladesh,Bangladesh Election Commission,EMB,7,7,db,
Bangladesh,Canadian University of Bangladesh,Other,2,2,db,
Barbados,ELECTORAL AND BOUNDARIES COMMISSION,Other,1,1,db,
Belarus,The Central Commission of the Republic of Belarus on Elections and Holding Republican Referendа,Other,2,2,"csv,db",Central Commission of the Republic of Belarus on Elections and Holding of Republican Referenda
Belarus,Ministry for Foreign Affairs,Other,2,2,csv,
Belarus,Central Election Commission,EMB,1,1,"csv,db",
Belarus,Election Commission,EMB,1,1,db,
Belgium,EPP,Other,14,14,csv,
Belgium,European Economic and Social Committee,Other,12,12,csv,
Belgium,Policy and Legislative Affairs,Other,12,12,csv,
Belgium,EUROPEAN PEACEBUILDING LIASON OFFICE,Other,10,10,csv,
Belgium,Parliamentary Diplomacy and Foreign Affairs,Other,7,7,csv,
Belgium,European Centre for Electoral Support,Other,6,6,"csv,db",
Belgium,Inter Pares,Other,4,4,csv,
Belgium,The Office of International IDEA,Other,3,3,csv,
Belgium,Ministry for Foreign Affairs,Other,2,2,csv,
Belgium,Ministry of Justice,Other,2,2,csv,
Belgium,Paliamentary Assembly,Other,1,1,"csv,db",
Belgium,European Parliament,Other,1,1,csv,
Belgium,ICANN,Other,1,1,csv,
Belgium,ECES | European Centre for Electoral Support,Other,1,1,csv,
Belgium,European Center for Electoral Support,Other,1,1,csv,
Belgium,UN/UNDP Representation Office in Brussels,Other,1,1,csv,
Belgium,Ministry of Interior of Belgium,Other,1,1,csv,
Belgium,IOM - UN Migration Agency,Other,1,1,csv,
Belgium,AECOM - International Development Europe,Other,1,1,csv,
Belgium,Office of International IDEA to the EU,Other,1,1,csv,
Belgium,International Foundation for Electoral Systems,Other,1,1,csv,
Belgium,Elections Directorate,Other,1,1,csv,
Belgium,European Commission - Election Observation,Other,1,1,csv,
Belgium,European Commission Undp-Partnership On Electoral Assistance,Other,1,1,csv,
Belgium,UNDP,Other,1,1,csv,
Belgium,Ministry of the Brussels Capital Region,Other,1,1,"csv,db",
Belgium,Youth and the Advisory Council on Youth,Other,1,1,"csv,db",
Belgium,FOS-Belgium,Other,1,1,csv,
Belgium,European Union,Other,1,1,csv,
Belgium,European Commission,Other,1,1,csv,
Belgium,Permanent Mission of Belgium,Other,1,1,db,
Belgium,Eri-Platform AISBL,Other,1,1,db,
Benin,National Autonomous Electoral Commission,EMB,2,2,csv,
Benin,National Electoral Commission (CENA),EMB,2,2,csv,
Benin,PNUD/BENIN,Other,1,1,csv,
Benin,African Union,Other,1,1,csv,
Benin,ICANN,Other,1,1,csv,
Bhutan,Department of Electoral Registration and Delimitation,Other,4,4,db,
Bhutan,Election Commission of Bhutan,EMB,1,1,db,
Bolivia,Bolivia Electoral,Other,1,1,db,
Bosnia and Herzegovina,Central Election Commission of Bosnia and Herzegovina,EMB,6,6,"csv,db",Central Election Commission
Bosnia and Herzegovina,Transparency International,Other,4,4,csv,
Bosnia and Herzegovina,Association of Election Officials of Bosnia and Herzegovina,Other,2,2,"csv,db",
Bosnia and Herzegovina,OSCE,Other,2,2,csv,
Bosnia and Herzegovina,Ministry of Foreign Affairs,Other,2,2,"csv,db",
Bosnia and Herzegovina,Democratisation Department Organisation,Other,1,1,"csv,db",
