Name,Role,Organisation,Bucket,Why they fit,Email,Email status,Source
Layla Moran MP,Chair of the Health and Social Care Select Committee,UK Parliament (Liberal Democrats),national,"Chairs the Commons committee scrutinising DHSC and NHS England policy on AI, workforce, and data; elected unopposed in September 2024. Strong potential chair for a UK health policy event.",layla.moran.mp@parliament.uk,verified,Hunter Email-Verifier status valid (score 100); UK Parliament members register
Paulette Hamilton MP,Member of the Health and Social Care Select Committee,UK Parliament (Labour),national,"Former nurse and Birmingham councillor, brings the NHS workforce-readiness angle on AI.",paulette.hamilton.mp@parliament.uk,verified,Hunter Email-Verifier status valid (score 100)
Dr Beccy Cooper MP,Member of the Health and Social Care Select Committee,UK Parliament (Labour),national,"Director of Public Health by background; one of the few clinically-trained MPs on the committee, well placed on public trust and population-level AI.",beccy.cooper.mp@parliament.uk,verified,Hunter Email-Verifier status valid (score 100)
Ben Coleman MP,Member of the Health and Social Care Select Committee,UK Parliament (Labour),national,Chelsea and Fulham MP active on NHS reform and digital transformation in committee evidence sessions.,colemanb@parliament.uk,verified,Hunter Email-Verifier status valid (score 90)
Joe Robertson MP,Member of the Health and Social Care Select Committee,UK Parliament (Conservative),national,"Conservative member of the Health and Social Care Committee (Isle of Wight East); useful for cross-party balance.",robertsonj@parliament.uk,verified,Hunter Email-Finder status valid (score 98)
Gregory Stafford MP,Member of the Health and Social Care Select Committee,UK Parliament (Conservative),national,"Conservative on the Health and Social Care Committee (Farnham and Bordon); has pressed on NHS digital transformation in evidence sessions.",staffordg@parliament.uk,verified,Hunter Email-Finder status valid (score 95)
Dame Chi Onwurah MP,"Chair of the Science, Innovation and Technology Select Committee",UK Parliament (Labour),national,"Electrical engineer by training; chairs the Commons committee with oversight of AI policy, the AI Opportunities Action Plan, and the AI Security Institute.",chi.onwurah.mp@parliament.uk,verified,Hunter Email-Verifier status valid (score 100)
Dr Allison Gardner MP,"Member, Science, Innovation and Technology Select Committee; Chair of the APPG on Artificial Intelligence",UK Parliament (Labour),national,"Sits on the SIT Committee and chairs the APPG on AI (confirmed in the 23 Feb 2026 APPG register). Former Keele data science academic. Likely the single most useful MP on this topic.",gardnera@parliament.uk,verified,Hunter Email-Finder status valid (score 98); APPG Register 23 Feb 2026
Rt Hon Kit Malthouse MP,"Member, Science, Innovation and Technology Select Committee",UK Parliament (Conservative),national,Former Cabinet Office and Home Office minister; brings ministerial perspective on cross-departmental AI governance.,malthousek@parliament.uk,verified,Hunter Email-Finder status valid (score 97)
George Freeman MP,"Member, Science, Innovation and Technology Select Committee",UK Parliament (Conservative),national,"Former Minister for Science, Research and Innovation; long-standing advocate for life sciences investment and NHS data.",freemang@parliament.uk,verified,Hunter Email-Verifier status valid (score 89)
Lord Clement-Jones,Co-Chair of the APPG on AI; Liberal Democrat spokesperson for Science Innovation and Technology in the Lords,House of Lords (Liberal Democrat),national,"Lords' most active voice on AI regulation; co-chairs the APPG on AI (confirmed in the 23 Feb 2026 APPG register), chaired the 2017 Lords Select Committee on AI.",clementjonest@parliament.uk,verified,Hunter Email-Verifier status valid (score 100)
Dawn Butler MP,"Vice Chair, APPG on AI",UK Parliament (Labour),national,"Vice Chair of the APPG on AI (confirmed in the 23 Feb 2026 register); outspoken on algorithmic bias and accountability.",butlerd@parliament.uk,verified,Hunter Email-Finder status valid (score 96)
Lord Ranger of Northwood,"Vice Chair, APPG on AI",House of Lords (Conservative),national,"Conservative Vice Chair of the APPG on AI (confirmed in the 23 Feb 2026 register); useful cross-party voice and adds Lords representation.",,linkedin,Hunter could not verify a parliament.uk address; LinkedIn outreach recommended
